id,name,given_name,family_name,identifiers,sources
praha:person:david-vodrazka,David Vodrážka,David,Vodrážka,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Vodrážka  David Ing.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Ing.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Vodrážka  David Ing.'""}]"
praha:person:pavel-vyhnanek,Pavel Vyhnánek,Pavel,Vyhnánek,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Vyhnánek  Pavel  M.A.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""M.A.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Vyhnánek  Pavel  M.A.'""}]"
praha:person:jan-wolf,Jan Wolf,Jan,Wolf,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Wolf  Jan""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Wolf  Jan'""}]"
praha:person:zdenek-zajicek,Zdeněk Zajíček,Zdeněk,Zajíček,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Zajíček  Zdeněk Mgr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Zajíček  Zdeněk Mgr.'""}]"
praha:person:pavel-zelenka,Pavel Zelenka,Pavel,Zelenka,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Zelenka  Pavel""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Zelenka  Pavel'""}]"
praha:person:petr-zeman,Petr Zeman,Petr,Zeman,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Zeman  Petr""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Zeman  Petr'""}]"
praha:person:adam-zabransky,Adam Zábranský,Adam,Zábranský,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Zábranský  Adam Mgr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Zábranský  Adam Mgr.'""}]"
praha:person:mariana-capkova,Mariana Čapková,Mariana,Čapková,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Čapková  Mariana Ing. MBA""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Ing. MBA""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Čapková  Mariana Ing. MBA'""}]"
praha:person:jan-cizinsky,Jan Čižinský,Jan,Čižinský,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Čižinský  Jan Mgr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Čižinský  Jan Mgr.'""}]"
praha:person:tomas-kanera,Tomáš Kaněra,Tomáš,Kaněra,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Kaněra  Tomáš Bc.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Bc.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Kaněra  Tomáš Bc.'""}]"
